BLOCO;REGIÃO GEOGRÁFICA;PAÍS;RESERVAS PROVADAS DE PETRÓLEO;ANO
NÃO OPEP;Ásia-Pacífico;China;25,62646431;2015
NÃO OPEP;Ásia-Pacífico;China;25,66381799;2016
NÃO OPEP;Ásia-Pacífico;China;25,9482;2017
NÃO OPEP;Ásia-Pacífico;China;26,19009;2018
NÃO OPEP;Ásia-Pacífico;China;25,96275738;2019
NÃO OPEP;Ásia-Pacífico;China;25,96275738;2020
NÃO OPEP;Ásia-Pacífico;Índia;5,7;2011
NÃO OPEP;Ásia-Pacífico;Índia;5,7197127;2012
NÃO OPEP;Ásia-Pacífico;Índia;5,71103061;2013
NÃO OPEP;Ásia-Pacífico;Índia;5,74340961;2014
NÃO OPEP;Ásia-Pacífico;Índia;4,786068;2015
NÃO OPEP;Ásia-Pacífico;Índia;4,6782384;2016
NÃO OPEP;Ásia-Pacífico;Índia;4,54886547;2017
NÃO OPEP;Ásia-Pacífico;Índia;4,47657747;2018
NÃO OPEP;Ásia-Pacífico;Índia;4,660614314;2019
NÃO OPEP;Ásia-Pacífico;Índia;4,543292181;2020
NÃO OPEP;Ásia-Pacífico;Indonésia;3,7;2011
NÃO OPEP;Ásia-Pacífico;Indonésia;3,74133;2012
NÃO OPEP;Ásia-Pacífico;Indonésia;3,6925;2013
NÃO OPEP;Ásia-Pacífico;Indonésia;3,6245;2014
NÃO OPEP;Ásia-Pacífico;Indonésia;3,60253;2015
NÃO OPEP;Ásia-Pacífico;Indonésia;3,3069;2016
NÃO OPEP;Ásia-Pacífico;Indonésia;3,1709;2017
NÃO OPEP;Ásia-Pacífico;Indonésia;3,1543;2018
NÃO OPEP;Ásia-Pacífico;Indonésia;2,48397;2019
NÃO OPEP;Ásia-Pacífico;Indonésia;2,44;2020
NÃO OPEP;Ásia-Pacífico;Malásia;3,7;2011
NÃO OPEP;Ásia-Pacífico;Malásia;3,688;2012
NÃO OPEP;Ásia-Pacífico;Malásia;3,8;2013
NÃO OPEP;Ásia-Pacífico;Malásia;3,6;2014
NÃO OPEP;Ásia-Pacífico;Malásia;3,018;2015
NÃO OPEP;Ásia-Pacífico;Malásia;2,8356;2016
NÃO OPEP;Ásia-Pacífico;Malásia;2,7318;2017
NÃO OPEP;Ásia-Pacífico;Malásia;2,7318;2018
NÃO OPEP;Ásia-Pacífico;Malásia;2,7318;2019
NÃO OPEP;Ásia-Pacífico;Malásia;2,7318;2020
NÃO OPEP;Ásia-Pacífico;Tailândia;0,5;2011
NÃO OPEP;Ásia-Pacífico;Tailândia;0,44882;2012
NÃO OPEP;Ásia-Pacífico;Tailândia;0,4618;2013
NÃO OPEP;Ásia-Pacífico;Tailândia;0,40483;2014
NÃO OPEP;Ásia-Pacífico;Tailândia;0,39636;2015
NÃO OPEP;Ásia-Pacífico;Tailândia;0,34939;2016
NÃO OPEP;Ásia-Pacífico;Tailândia;0,3225;2017
NÃO OPEP;Ásia-Pacífico;Tailândia;0,2926;2018
NÃO OPEP;Ásia-Pacífico;Tailândia;0,25275;2019
NÃO OPEP;Ásia-Pacífico;Tailândia;0,25275;2020
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2011
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2012
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2013
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2014
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2015
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2016
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2017
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2018
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2019
NÃO OPEP;Ásia-Pacífico;Vietnã;4,4;2020
NÃO OPEP;Ásia-Pacífico;Outros;1,1;2011
NÃO OPEP;Ásia-Pacífico;Outros;1,074614426;2012
NÃO OPEP;Ásia-Pacífico;Outros;1,295926805;2013
NÃO OPEP;Ásia-Pacífico;Outros;1,234139511;2014
NÃO OPEP;Ásia-Pacífico;Outros;1,255291413;2015
NÃO OPEP;Ásia-Pacífico;Outros;1,185388827;2016
NÃO OPEP;Ásia-Pacífico;Outros;1,173656816;2017
NÃO OPEP;Ásia-Pacífico;Outros;1,170493391;2018
NÃO OPEP;Ásia-Pacífico;Outros;1,366695472;2019
NÃO OPEP;Ásia-Pacífico;Outros;1,337779292;2020
